"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES"
"Aug 04, 2023 8:47 AM","(-) Expense","52.00","Transportation","Metro","metro"
"Aug 04, 2023 1:02 PM","(-) Expense","74.00","Food","Primary","dosa"
"Aug 04, 2023 4:43 PM","(-) Expense","46.00","Food","Cash","idli"
"Aug 04, 2023 7:11 PM","(-) Expense","35.00","Transportation","Metro","metro"
"Aug 05, 2023 7:00 AM","(-) Expense","117.00","Sport","Primary","swimming"
"Aug 05, 2023 8:23 AM","(-) Expense","14.00","Food","Primary","tea"
"Aug 05, 2023 11:05 AM","(-) Expense","727.00","Ration","Primary","grocery restock"
"Aug 05, 2023 11:08 AM","(-) Expense","86.00","Ration","Primary","milk and curd"
"Aug 05, 2023 11:18 AM","(-) Expense","636.00","Ration","Primary","grocery restock"
"Aug 05, 2023 11:21 AM","(-) Expense","549.00","Bills","Primary","wifi"
"Aug 05, 2023 1:05 PM","(-) Expense","425.00","Food","Primary","pizza"
"Aug 05, 2023 4:39 PM","(-) Expense","20.00","Food","Primary","filter coffee"
"Aug 05, 2023 6:23 PM","(-) Expense","1333.00","Entertainment","Primary","game purchase"
"Aug 05, 2023 8:08 PM","(-) Expense","1844.00","Social","Primary","wedding gift"
"Aug 05, 2023 9:00 PM","(-) Expense","87.00","Food","Primary","lunch"
"Aug 06, 2023 8:23 AM","(-) Expense","11.00","Food","Primary","tea"
"Aug 06, 2023 1:02 PM","(-) Expense","96.00","Food","Primary","burger"
"Aug 06, 2023 4:43 PM","(-) Expense","58.00","Food","Primary","fruit salad"
"Aug 06, 2023 8:08 PM","(-) Expense","342.00","Social","Primary","festival sweets"
"Aug 07, 2023 8:47 AM","(-) Expense","47.00","Transportation","Metro","metro"
"Aug 07, 2023 1:07 PM","(-) Expense","58.00","Food","Primary","idli"
"Aug 07, 2023 7:11 PM","(-) Expense","36.00","Transportation","Metro","metro"
"Aug 07, 2023 7:27 PM","(-) Expense","784.00","gift","Primary","diwali gift"
"Aug 07, 2023 9:00 PM","(-) Expense","266.00","Food","Primary","pizza"
"Aug 08, 2023 7:01 AM","(-) Expense","297.50","Sport","Primary","badminton court"
"Aug 08, 2023 8:21 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Aug 08, 2023 8:49 AM","(-) Expense","59.00","Transportation","Primary","metro"
"Aug 08, 2023 12:07 PM","(-) Expense","1303.00","Bills","Primary","electricity"
"Aug 08, 2023 1:07 PM","(-) Expense","124.00","Food","Primary","lunch"
"Aug 08, 2023 7:32 PM","(-) Expense","1182.00","gift","Primary","diwali gift"
"Aug 09, 2023 8:22 AM","(-) Expense","15.00","Food","Cash","tea"
"Aug 09, 2023 8:50 AM","(-) Expense","43.00","Transportation","Metro","metro"
"Aug 09, 2023 1:04 PM","(-) Expense","97.00","Food","Primary","lunch"
"Aug 09, 2023 4:41 PM","(-) Expense","75.00","Food","Primary","fruit salad"
"Aug 09, 2023 9:03 PM","(-) Expense","81.50","Food","Primary","office cafeteria"
"Aug 10, 2023 7:02 AM","(-) Expense","79.00","Sport","Primary","sports drink"
"Aug 10, 2023 8:23 AM","(-) Expense","14.00","Food","Primary","tea"
"Aug 10, 2023 8:48 AM","(-) Expense","19.00","Transportation","Primary","bus"
"Aug 10, 2023 1:05 PM","(-) Expense","89.50","Food","Primary","office cafeteria"
"Aug 10, 2023 7:13 PM","(-) Expense","31.00","Transportation","Primary","bus"
"Aug 11, 2023 8:20 AM","(-) Expense","11.00","Food","Primary","cutting chai"
"Aug 11, 2023 8:47 AM","(-) Expense","54.00","Transportation","Metro","metro"
"Aug 11, 2023 1:04 PM","(-) Expense","96.00","Food","Primary","office cafeteria"
"Aug 12, 2023 7:00 AM","(-) Expense","67.00","Sport","Primary","sports drink"
"Aug 12, 2023 11:00 AM","(-) Expense","72.00","Ration","Primary","eggs pack"
"Aug 12, 2023 11:17 AM","(-) Expense","78.50","Ration","Primary","milk and curd"
"Aug 12, 2023 11:19 AM","(-) Expense","100.00","Ration","Primary","milk and curd"
"Aug 12, 2023 1:06 PM","(-) Expense","185.00","Food","Primary","dinner"
"Aug 12, 2023 6:31 PM","(-) Expense","224.00","Telephone","Primary","prepaid top-up"
"Aug 12, 2023 8:12 PM","(-) Expense","2152.00","Social","Primary","wedding gift"
"Aug 12, 2023 9:00 PM","(-) Expense","125.00","Food","Primary","office cafeteria"
"Aug 13, 2023 8:22 AM","(-) Expense","13.00","Food","Cash","tea"
"Aug 13, 2023 1:05 PM","(-) Expense","133.00","Food","Primary","thali"
"Aug 13, 2023 4:41 PM","(-) Expense","30.00","Food","Primary","egg puff"
"Aug 14, 2023 8:19 AM","(-) Expense","26.50","Food","Primary","filter coffee"
"Aug 14, 2023 8:49 AM","(-) Expense","33.00","Transportation","Primary","bus"
"Aug 14, 2023 1:04 PM","(-) Expense","56.00","Food","Primary","idli"
"Aug 14, 2023 2:00 PM","(-) Expense","65.00","Education","Primary","printouts"
"Aug 14, 2023 4:40 PM","(-) Expense","86.00","Food","Primary","dosa"
"Aug 14, 2023 7:10 PM","(-) Expense","29.00","Transportation","Primary","bus"
"Aug 15, 2023 7:00 AM","(-) Expense","73.00","Sport","Primary","sports drink"
"Aug 15, 2023 8:19 AM","(-) Expense","30.00","Food","Cash","filter coffee"
"Aug 15, 2023 8:48 AM","(-) Expense","35.00","Transportation","Primary","bus"
"Aug 15, 2023 1:02 PM","(-) Expense","131.00","Food","Primary","lunch"
"Aug 15, 2023 4:39 PM","(-) Expense","12.00","Food","Cash","tea"
"Aug 15, 2023 8:06 PM","(*) Transfer","8387.00","-","Primary->Credit","credit card payment"
"Aug 16, 2023 8:17 AM","(-) Expense","13.00","Food","Cash","tea"
"Aug 16, 2023 8:48 AM","(-) Expense","42.00","Transportation","Metro","metro"
"Aug 16, 2023 1:04 PM","(-) Expense","76.00","Food","Primary","office cafeteria"
"Aug 16, 2023 4:40 PM","(-) Expense","42.00","Food","Cash","juice"
"Aug 16, 2023 7:11 PM","(-) Expense","45.00","Transportation","Metro","metro"
"Aug 17, 2023 8:22 AM","(-) Expense","26.00","Food","Primary","filter coffee"
"Aug 17, 2023 8:53 AM","(-) Expense","25.00","Transportation","Primary","bus"
"Aug 17, 2023 1:07 PM","(-) Expense","61.00","Food","Primary","dosa"
"Aug 17, 2023 4:40 PM","(-) Expense","36.50","Food","Cash","poha"
"Aug 17, 2023 7:13 PM","(-) Expense","24.00","Transportation","Primary","bus"
"Aug 18, 2023 8:13 AM","(*) Transfer","298.00","-","Primary->Metro","metro card top-up"
"Aug 18, 2023 8:21 AM","(-) Expense","31.00","Food","Primary","filter coffee"
"Aug 18, 2023 8:52 AM","(-) Expense","40.00","Transportation","Metro","metro"
"Aug 18, 2023 1:04 PM","(-) Expense","98.00","Food","Primary","lunch"
"Aug 18, 2023 4:39 PM","(-) Expense","17.00","Food","Primary","biscuit"
"Aug 18, 2023 7:10 PM","(-) Expense","46.00","Transportation","Metro","metro"
"Aug 19, 2023 7:00 AM","(-) Expense","75.00","Sport","Primary","sports drink"
"Aug 19, 2023 8:18 AM","(-) Expense","11.00","Food","Cash","cutting chai"
"Aug 19, 2023 1:06 PM","(-) Expense","413.00","Food","Primary","outside dinner"
"Aug 19, 2023 4:39 PM","(-) Expense","24.00","Food","Primary","vada pav"
"Aug 19, 2023 9:01 PM","(-) Expense","109.00","Food","Primary","lunch"
"Aug 20, 2023 8:18 AM","(-) Expense","22.00","Food","Cash","filter coffee"
"Aug 20, 2023 1:08 PM","(-) Expense","107.00","Food","Primary","office cafeteria"
"Aug 20, 2023 2:02 PM","(-) Expense","1391.00","Education","Primary","exam fee"
"Aug 20, 2023 4:41 PM","(-) Expense","119.00","Food","Primary","ice cream"
"Aug 20, 2023 5:47 PM","(*) Transfer","2373.00","-","Primary->Cash","atm cash"
"Aug 20, 2023 8:09 PM","(-) Expense","315.00","Social","Primary","team lunch share"
"Aug 21, 2023 8:22 AM","(-) Expense","29.00","Food","Primary","filter coffee"
"Aug 21, 2023 8:52 AM","(-) Expense","34.00","Transportation","Metro","metro"
"Aug 21, 2023 1:04 PM","(-) Expense","68.00","Food","Primary","dosa"
"Aug 21, 2023 4:39 PM","(-) Expense","70.00","Food","Cash","dosa"
"Aug 21, 2023 7:07 PM","(-) Expense","34.00","Transportation","Metro","metro"
"Aug 21, 2023 9:02 PM","(-) Expense","112.00","Food","Primary","burger"
"Aug 22, 2023 7:02 AM","(-) Expense","389.00","Sport","Primary","badminton court"
"Aug 22, 2023 8:18 AM","(-) Expense","12.00","Food","Primary","tea"
"Aug 22, 2023 1:05 PM","(-) Expense","75.00","Food","Primary","dosa"
"Aug 22, 2023 4:40 PM","(-) Expense","37.00","Food","Primary","idli"
"Aug 23, 2023 8:47 AM","(-) Expense","44.00","Transportation","Metro","metro"
"Aug 23, 2023 1:04 PM","(-) Expense","96.00","Food","Primary","office cafeteria"
"Aug 23, 2023 4:41 PM","(-) Expense","54.00","Food","Cash","juice"
"Aug 23, 2023 7:12 PM","(-) Expense","49.00","Transportation","Metro","metro"
"Aug 23, 2023 9:00 PM","(-) Expense","102.50","Food","Primary","burger"
"Aug 24, 2023 8:18 AM","(-) Expense","27.00","Food","Primary","filter coffee"
"Aug 24, 2023 8:48 AM","(-) Expense","57.00","Transportation","Metro","metro"
"Aug 24, 2023 1:04 PM","(-) Expense","138.00","Food","Primary","lunch"
"Aug 24, 2023 7:10 PM","(-) Expense","47.00","Transportation","Metro","metro"
"Aug 25, 2023 8:48 AM","(-) Expense","32.00","Transportation","Primary","bus"
"Aug 25, 2023 1:05 PM","(-) Expense","128.00","Food","Primary","office cafeteria"
"Aug 25, 2023 7:10 PM","(-) Expense","29.00","Transportation","Primary","bus"
"Aug 26, 2023 1:04 PM","(-) Expense","231.00","Food","Primary","biryani"
"Aug 26, 2023 4:43 PM","(-) Expense","43.00","Food","Primary","idli"
"Aug 27, 2023 8:20 AM","(-) Expense","10.00","Food","Primary","cutting chai"
"Aug 27, 2023 1:08 PM","(-) Expense","214.00","Food","Primary","pizza"
"Aug 27, 2023 4:41 PM","(-) Expense","28.00","Food","Cash","vada pav"
"Aug 27, 2023 6:20 PM","(-) Expense","605.00","Entertainment","Primary","game purchase"
"Aug 27, 2023 9:01 PM","(-) Expense","148.00","Food","Primary","burger"
"Aug 28, 2023 8:19 AM","(-) Expense","23.00","Food","Primary","filter coffee"
"Aug 28, 2023 8:49 AM","(-) Expense","44.50","Transportation","Metro","metro"
"Aug 28, 2023 1:06 PM","(-) Expense","139.50","Food","Primary","lunch"
"Aug 28, 2023 7:13 PM","(-) Expense","46.00","Transportation","Metro","metro"
"Aug 29, 2023 7:00 AM","(-) Expense","175.00","Sport","Primary","gym day pass"
"Aug 29, 2023 8:22 AM","(-) Expense","13.00","Food","Primary","tea"
"Aug 29, 2023 8:48 AM","(-) Expense","42.00","Transportation","Metro","metro"
"Aug 29, 2023 1:06 PM","(-) Expense","140.00","Food","Primary","thali"
"Aug 29, 2023 4:40 PM","(-) Expense","117.00","Food","Primary","ice cream"
"Aug 29, 2023 7:08 PM","(-) Expense","44.00","Transportation","Metro","metro"
"Aug 30, 2023 8:22 AM","(-) Expense","14.00","Food","Primary","tea"
"Aug 30, 2023 8:47 AM","(-) Expense","53.00","Transportation","Primary","metro"
"Aug 30, 2023 1:07 PM","(-) Expense","49.00","Food","Primary","idli"
"Aug 30, 2023 4:39 PM","(-) Expense","15.00","Food","Cash","tea"
"Aug 30, 2023 7:11 PM","(-) Expense","47.00","Transportation","Primary","metro"
"Aug 31, 2023 7:00 AM","(-) Expense","393.50","Sport","Primary","badminton court"
"Aug 31, 2023 8:51 AM","(-) Expense","23.00","Transportation","Primary","bus"
"Aug 31, 2023 1:02 PM","(-) Expense","178.00","Food","Primary","thali"
"Aug 31, 2023 7:09 PM","(-) Expense","19.00","Transportation","Primary","bus"
"Sep 01, 2023 8:23 AM","(-) Expense","14.00","Food","Primary","tea"
"Sep 01, 2023 8:53 AM","(-) Expense","59.50","Transportation","Metro","metro"
"Sep 01, 2023 9:13 AM","(+) Income","48000.00","Salary","Primary","monthly salary"
"Sep 01, 2023 9:43 AM","(*) Transfer","13509.00","-","Primary->Savings","monthly save"
"Sep 01, 2023 1:04 PM","(-) Expense","143.00","Food","Primary","lunch"
"Sep 01, 2023 4:39 PM","(-) Expense","10.00","Food","Primary","cutting chai"
"Sep 01, 2023 7:13 PM","(-) Expense","43.00","Transportation","Metro","metro"
"Sep 02, 2023 7:00 AM","(-) Expense","399.00","Sport","Primary","badminton court"
"Sep 02, 2023 8:17 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 02, 2023 10:08 AM","(-) Expense","10818.00","Home","Primary","rent share"
"Sep 02, 2023 11:01 AM","(-) Expense","816.00","Ration","Primary","grocery restock"
"Sep 02, 2023 11:09 AM","(-) Expense","332.50","Ration","Primary","chicken"
"Sep 02, 2023 11:15 AM","(-) Expense","194.00","Ration","Primary","fruits"
"Sep 02, 2023 11:25 AM","(-) Expense","765.00","Ration","Primary","grocery restock"
"Sep 02, 2023 11:27 AM","(-) Expense","422.00","Ration","Primary","rice and dal"
"Sep 02, 2023 1:05 PM","(-) Expense","191.00","Food","Primary","thali"
"Sep 02, 2023 6:23 PM","(-) Expense","455.00","Entertainment","Primary","game purchase"
"Sep 02, 2023 9:00 PM","(-) Expense","119.00","Food","Primary","dinner"
"Sep 03, 2023 8:19 AM","(-) Expense","22.00","Food","Primary","filter coffee"
"Sep 03, 2023 1:03 PM","(-) Expense","462.00","Food","Primary","weekend brunch"
"Sep 03, 2023 9:01 PM","(-) Expense","179.00","Food","Primary","biryani"
"Sep 04, 2023 8:18 AM","(-) Expense","33.00","Food","Primary","filter coffee"
"Sep 04, 2023 8:47 AM","(-) Expense","32.00","Transportation","Primary","metro"
"Sep 04, 2023 1:06 PM","(-) Expense","53.00","Food","Primary","dosa"
"Sep 04, 2023 4:37 PM","(-) Expense","20.00","Food","Primary","biscuit"
"Sep 04, 2023 7:10 PM","(-) Expense","39.00","Transportation","Primary","metro"
"Sep 05, 2023 7:02 AM","(-) Expense","66.00","Sport","Primary","sports drink"
"Sep 05, 2023 8:18 AM","(-) Expense","11.00","Food","Cash","cutting chai"
"Sep 05, 2023 8:49 AM","(-) Expense","22.00","Transportation","Primary","bus"
"Sep 05, 2023 11:20 AM","(-) Expense","657.00","Bills","Primary","wifi"
"Sep 05, 2023 1:08 PM","(-) Expense","77.00","Food","Primary","dosa"
"Sep 05, 2023 4:37 PM","(-) Expense","24.00","Food","Cash","water bottle"
"Sep 05, 2023 7:08 PM","(-) Expense","18.00","Transportation","Primary","bus"
"Sep 06, 2023 8:21 AM","(-) Expense","12.00","Food","Cash","tea"
"Sep 06, 2023 8:49 AM","(-) Expense","56.00","Transportation","Metro","metro"
"Sep 06, 2023 1:03 PM","(-) Expense","76.00","Food","Primary","office cafeteria"
"Sep 06, 2023 4:43 PM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 06, 2023 7:11 PM","(-) Expense","50.00","Transportation","Metro","metro"
"Sep 07, 2023 8:20 AM","(-) Expense","10.00","Food","Primary","cutting chai"
"Sep 07, 2023 8:51 AM","(-) Expense","16.00","Transportation","Primary","bus"
"Sep 07, 2023 1:06 PM","(-) Expense","128.00","Food","Primary","lunch"
"Sep 07, 2023 7:10 PM","(-) Expense","16.00","Transportation","Primary","bus"
"Sep 08, 2023 8:22 AM","(-) Expense","10.00","Food","Cash","cutting chai"
"Sep 08, 2023 8:51 AM","(-) Expense","25.00","Transportation","Primary","bus"
"Sep 08, 2023 12:10 PM","(-) Expense","683.00","Bills","Primary","electricity"
"Sep 08, 2023 1:08 PM","(-) Expense","130.00","Food","Primary","lunch"
"Sep 08, 2023 4:42 PM","(-) Expense","31.00","Food","Primary","egg puff"
"Sep 08, 2023 7:09 PM","(-) Expense","22.50","Transportation","Primary","bus"
"Sep 09, 2023 8:17 AM","(-) Expense","12.00","Food","Primary","tea"
"Sep 09, 2023 11:24 AM","(-) Expense","322.00","Ration","Primary","rice and dal"
"Sep 09, 2023 11:31 AM","(-) Expense","223.00","Ration","Primary","chicken"
"Sep 09, 2023 6:19 PM","(-) Expense","411.00","Entertainment","Primary","movie"
"Sep 10, 2023 8:23 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 10, 2023 1:07 PM","(-) Expense","380.00","Food","Primary","pizza"
"Sep 10, 2023 6:19 PM","(-) Expense","2441.50","Entertainment","Primary","concert ticket"
"Sep 11, 2023 8:23 AM","(-) Expense","13.00","Food","Primary","tea"
"Sep 11, 2023 8:53 AM","(-) Expense","22.50","Transportation","Primary","bus"
"Sep 11, 2023 1:05 PM","(-) Expense","172.00","Food","Primary","thali"
"Sep 11, 2023 4:03 PM","(-) Expense","1572.00","Shopping","Primary","earphones"
"Sep 11, 2023 4:43 PM","(-) Expense","29.00","Food","Cash","vada pav"
"Sep 11, 2023 7:11 PM","(-) Expense","32.00","Transportation","Primary","bus"
"Sep 11, 2023 9:00 PM","(-) Expense","394.50","Food","Primary","outside dinner"
"Sep 12, 2023 7:01 AM","(-) Expense","135.00","Sport","Primary","gym day pass"
"Sep 12, 2023 8:18 AM","(-) Expense","14.00","Food","Cash","tea"
"Sep 12, 2023 8:53 AM","(-) Expense","46.00","Transportation","Metro","metro"
"Sep 12, 2023 1:06 PM","(-) Expense","56.00","Food","Primary","idli"
"Sep 12, 2023 6:33 PM","(-) Expense","340.00","Telephone","Primary","prepaid top-up"
"Sep 12, 2023 7:10 PM","(-) Expense","53.00","Transportation","Metro","metro"
"Sep 13, 2023 8:20 AM","(-) Expense","10.00","Food","Primary","tea"
"Sep 13, 2023 8:53 AM","(-) Expense","41.00","Transportation","Metro","metro"
"Sep 13, 2023 1:04 PM","(-) Expense","123.50","Food","Primary","lunch"
"Sep 13, 2023 4:42 PM","(-) Expense","59.00","Food","Primary","fruit salad"
"Sep 13, 2023 7:07 PM","(-) Expense","55.50","Transportation","Metro","metro"
"Sep 14, 2023 8:47 AM","(-) Expense","55.00","Transportation","Metro","metro"
"Sep 14, 2023 1:05 PM","(-) Expense","171.00","Food","Primary","thali"
"Sep 14, 2023 7:13 PM","(-) Expense","41.00","Transportation","Metro","metro"
"Sep 15, 2023 8:22 AM","(-) Expense","11.00","Food","Cash","tea"
"Sep 15, 2023 8:49 AM","(-) Expense","41.00","Transportation","Metro","metro"
"Sep 15, 2023 1:04 PM","(-) Expense","59.00","Food","Primary","idli"
"Sep 15, 2023 4:42 PM","(-) Expense","42.00","Food","Primary","juice"
"Sep 15, 2023 8:06 PM","(*) Transfer","8971.00","-","Primary->Credit","credit card payment"
"Sep 15, 2023 9:00 PM","(-) Expense","165.00","Food","Primary","lunch"
"Sep 16, 2023 7:02 AM","(-) Expense","289.50","Sport","Primary","badminton court"
"Sep 16, 2023 8:19 AM","(-) Expense","27.00","Food","Primary","filter coffee"
"Sep 16, 2023 1:05 PM","(-) Expense","279.00","Food","Primary","pizza"
"Sep 16, 2023 6:18 PM","(-) Expense","180.50","Entertainment","Primary","cafe hangout"
"Sep 16, 2023 9:00 PM","(-) Expense","177.50","Food","Primary","dinner"
"Sep 17, 2023 8:19 AM","(-) Expense","11.50","Food","Primary","cutting chai"
"Sep 17, 2023 6:23 PM","(-) Expense","1036.00","Entertainment","Primary","concert ticket"
"Sep 17, 2023 8:10 PM","(-) Expense","301.00","Social","Primary","festival sweets"
"Sep 18, 2023 8:13 AM","(*) Transfer","372.00","-","Primary->Metro","metro card top-up"
"Sep 18, 2023 8:22 AM","(-) Expense","13.00","Food","Primary","tea"
"Sep 18, 2023 8:48 AM","(-) Expense","55.00","Transportation","Metro","metro"
"Sep 18, 2023 1:03 PM","(-) Expense","89.50","Food","Primary","office cafeteria"
"Sep 18, 2023 4:39 PM","(-) Expense","38.00","Food","Primary","egg puff"
"Sep 18, 2023 7:13 PM","(-) Expense","41.00","Transportation","Metro","metro"
"Sep 19, 2023 7:02 AM","(-) Expense","398.00","Sport","Primary","badminton court"
"Sep 19, 2023 8:19 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 19, 2023 8:52 AM","(-) Expense","49.00","Transportation","Metro","metro"
"Sep 19, 2023 1:04 PM","(-) Expense","76.00","Food","Primary","dosa"
"Sep 19, 2023 4:42 PM","(-) Expense","56.00","Food","Primary","fruit salad"
"Sep 19, 2023 7:11 PM","(-) Expense","40.00","Transportation","Metro","metro"
"Sep 19, 2023 9:00 PM","(-) Expense","126.00","Food","Primary","burger"
"Sep 20, 2023 8:23 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 20, 2023 1:08 PM","(-) Expense","79.50","Food","Primary","office cafeteria"
"Sep 20, 2023 4:40 PM","(-) Expense","15.50","Food","Primary","samosa"
"Sep 20, 2023 5:43 PM","(*) Transfer","1194.00","-","Primary->Cash","atm cash"
"Sep 21, 2023 7:03 AM","(-) Expense","295.00","Sport","Primary","badminton court"
"Sep 21, 2023 8:19 AM","(-) Expense","13.50","Food","Primary","tea"
"Sep 21, 2023 8:47 AM","(-) Expense","26.00","Transportation","Primary","bus"
"Sep 21, 2023 1:07 PM","(-) Expense","74.00","Food","Primary","dosa"
"Sep 21, 2023 4:43 PM","(-) Expense","50.00","Food","Cash","idli"
"Sep 21, 2023 7:07 PM","(-) Expense","23.00","Transportation","Primary","bus"
"Sep 21, 2023 9:00 PM","(-) Expense","500.00","Food","Primary","outside dinner"
"Sep 22, 2023 8:21 AM","(-) Expense","28.00","Food","Primary","filter coffee"
"Sep 22, 2023 8:52 AM","(-) Expense","33.00","Transportation","Metro","metro"
"Sep 22, 2023 1:07 PM","(-) Expense","162.50","Food","Primary","thali"
"Sep 22, 2023 7:12 PM","(-) Expense","52.00","Transportation","Metro","metro"
"Sep 23, 2023 8:17 AM","(-) Expense","11.00","Food","Cash","cutting chai"
"Sep 23, 2023 1:05 PM","(-) Expense","105.00","Food","Primary","office cafeteria"
"Sep 23, 2023 4:42 PM","(-) Expense","98.00","Food","Primary","ice cream"
"Sep 24, 2023 8:18 AM","(-) Expense","34.00","Food","Primary","filter coffee"
"Sep 24, 2023 11:15 AM","(-) Expense","74.50","Ration","Primary","eggs pack"
"Sep 24, 2023 11:28 AM","(-) Expense","275.00","Ration","Primary","chicken"
"Sep 24, 2023 1:08 PM","(-) Expense","188.00","Food","Primary","biryani"
"Sep 24, 2023 6:22 PM","(-) Expense","214.00","Entertainment","Primary","cafe hangout"
"Sep 24, 2023 8:11 PM","(-) Expense","274.00","Social","Primary","festival sweets"
"Sep 24, 2023 9:01 PM","(-) Expense","433.50","Food","Primary","pizza"
"Sep 25, 2023 8:22 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Sep 25, 2023 8:50 AM","(-) Expense","42.00","Transportation","Metro","metro"
"Sep 25, 2023 1:08 PM","(-) Expense","87.00","Food","Primary","lunch"
"Sep 25, 2023 4:43 PM","(-) Expense","29.50","Food","Cash","water bottle"
"Sep 26, 2023 7:00 AM","(-) Expense","111.00","Sport","Primary","swimming"
"Sep 26, 2023 8:51 AM","(-) Expense","32.50","Transportation","Metro","metro"
"Sep 26, 2023 1:05 PM","(-) Expense","61.00","Food","Primary","dosa"
"Sep 26, 2023 4:40 PM","(-) Expense","26.50","Food","Cash","water bottle"
"Sep 26, 2023 7:12 PM","(-) Expense","44.00","Transportation","Metro","metro"
"Sep 27, 2023 8:48 AM","(-) Expense","24.00","Transportation","Primary","bus"
"Sep 27, 2023 1:02 PM","(-) Expense","110.00","Food","Primary","office cafeteria"
"Sep 27, 2023 4:41 PM","(-) Expense","57.50","Food","Primary","juice"
"Sep 27, 2023 7:11 PM","(-) Expense","29.00","Transportation","Primary","bus"
"Sep 28, 2023 7:03 AM","(-) Expense","304.00","Sport","Primary","badminton court"
"Sep 28, 2023 8:50 AM","(-) Expense","55.00","Transportation","Metro","metro"
"Sep 28, 2023 1:06 PM","(-) Expense","115.50","Food","Primary","lunch"
"Sep 28, 2023 4:37 PM","(-) Expense","11.00","Food","Primary","biscuit"
"Sep 28, 2023 7:13 PM","(-) Expense","45.00","Transportation","Metro","metro"
"Sep 29, 2023 8:22 AM","(-) Expense","14.00","Food","Primary","tea"
"Sep 29, 2023 8:51 AM","(-) Expense","32.00","Transportation","Primary","metro"
"Sep 29, 2023 1:02 PM","(-) Expense","49.00","Food","Primary","idli"
"Sep 29, 2023 4:42 PM","(-) Expense","49.00","Food","Primary","juice"
"Sep 29, 2023 7:11 PM","(-) Expense","55.00","Transportation","Primary","metro"
"Sep 30, 2023 7:00 AM","(-) Expense","96.00","Sport","Primary","swimming"
"Sep 30, 2023 8:20 AM","(-) Expense","12.50","Food","Primary","tea"
"Sep 30, 2023 1:08 PM","(-) Expense","82.00","Food","Primary","lunch"
"Sep 30, 2023 4:00 PM","(-) Expense","450.00","Shopping","Primary","t-shirt"
"Sep 30, 2023 6:17 PM","(-) Expense","402.00","Entertainment","Primary","movie"
"Oct 01, 2023 8:21 AM","(-) Expense","11.00","Food","Primary","cutting chai"
"Oct 01, 2023 9:13 AM","(+) Income","48000.00","Salary","Primary","monthly salary"
"Oct 01, 2023 9:43 AM","(*) Transfer","11778.50","-","Primary->Savings","monthly save"
"Oct 01, 2023 9:52 AM","(*) Transfer","2420.50","-","Savings->Emergency","emergency fund"
